Number,leaid11,STNAM,School.District,County_name,ALL_COHORT_1112,ALL_RATE_1112,ECD_COHORT_1112,ECD_RATE_1112,Percentage,Num_BGs_in_Tract,LAND_AREA,URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010,pct_URBANIZED_AREA_POP_CEN_2010,pct_URBAN_CLUSTER_POP_CEN_2010,pct_RURAL_POP_CEN_2010,pct_Males_CEN_2010,pct_Males_ACS_08_12,pct_Males_ACSMOE_08_12,pct_Females_CEN_2010,pct_Females_ACS_08_12,pct_Females_ACSMOE_08_12,pct_Tot_GQ_CEN_2010,pct_Inst_GQ_CEN_2010,pct_Non_Inst_GQ_CEN_2010,pct_Pop_5yrs_Over_ACS_08_12,pct_Pop_5yrs_Over_ACSMOE_08_12,pct_Othr_Lang_ACS_08_12,pct_Othr_Lang_ACSMOE_08_12,pct_Age5p_Only_Eng_ACS_08_12,pct_Age5p_Only_Eng_ACSMOE_08_12,pct_Pop_25yrs_Over_ACS_08_12,pct_Pop_25yrs_Over_ACSMOE_08_12,pct_Not_HS_Grad_ACS_08_12,pct_Not_HS_Grad_ACSMOE_08_12,pct_College_ACS_08_12,pct_College_ACSMOE_08_12,pct_Pov_Univ_ACS_08_12,pct_Pov_Univ_ACSMOE_08_12,pct_Prs_Blw_Pov_Lev_ACS_08_12,pct_Prs_Blw_Pov_Lev_ACSMOE_08_12,pct_Civ_emp_16p_ACS_08_12,pct_Civ_emp_16p_ACSMOE_08_12,pct_Civ_unemp_16p_ACS_08_12,pct_Civ_unemp_16p_ACSMOE_08_12,pct_Pop_1yr_Over_ACS_08_12,pct_Pop_1yr_Over_ACSMOE_08_12,pct_Diff_HU_1yr_Ago_ACS_08_12,pct_Diff_HU_1yr_Ago_ACSMOE_08_12,pct_Born_US_ACS_08_12,pct_Born_US_ACSMOE_08_12,pct_Born_foreign_ACS_08_12,pct_Born_foreign_ACSMOE_08_12,pct_US_Cit_Nat_ACS_08_12,pct_US_Cit_Nat_ACSMOE_08_12,pct_NON_US_Cit_ACS_08_12,pct_NON_US_Cit_ACSMOE_08_12,pct_ENG_VW_SPAN_ACS_08_12,pct_ENG_VW_SPAN_ACSMOE_08_12,pct_ENG_VW_INDOEURO_ACS_08_12,pct_ENG_VW_INDOEURO_ACSMOE_08_12,pct_ENG_VW_API_ACS_08_12,pct_ENG_VW_API_ACSMOE_08_12,pct_ENG_VW_OTHER_ACS_08_12,pct_ENG_VW_OTHER_ACSMOE_08_12,pct_ENG_VW_ACS_08_12,pct_ENG_VW_ACSMOE_08_12,pct_Rel_Family_HHDS_CEN_2010,pct_Rel_Family_HHD_ACS_08_12,pct_Rel_Family_HHD_ACSMOE_08_12,pct_MrdCple_HHD_CEN_2010,pct_MrdCple_HHD_ACS_08_12,pct_MrdCple_HHD_ACSMOE_08_12,pct_Not_MrdCple_HHD_CEN_2010,pct_Not_MrdCple_HHD_ACS_08_12,pct_Not_MrdCple_HHD_ACSMOE_08_12,pct_Female_No_HB_CEN_2010,pct_Female_No_HB_ACS_08_12,pct_Female_No_HB_ACSMOE_08_12,pct_NonFamily_HHD_CEN_2010,pct_NonFamily_HHD_ACS_08_12,pct_NonFamily_HHD_ACSMOE_08_12,pct_Sngl_Prns_HHD_CEN_2010,pct_Sngl_Prns_HHD_ACS_08_12,pct_Sngl_Prns_HHD_ACSMOE_08_12,pct_HHD_PPL_Und_18_CEN_2010,pct_HHD_PPL_Und_18_ACS_08_12,pct_HHD_PPL_Und_18_ACSMOE_08_12,avg_Tot_Prns_in_HHD_CEN_2010,avg_Tot_Prns_in_HHD_ACS_08_12,avg_Tot_Prns_in_HHD_ACSMOE_08_12,pct_Rel_Under_6_CEN_2010,pct_Rel_Under_6_ACS_08_12,pct_Rel_Under_6_ACSMOE_08_12,pct_HHD_Moved_in_ACS_08_12,pct_HHD_Moved_in_ACSMOE_08_12,pct_PUB_ASST_INC_ACS_08_12,pct_PUB_ASST_INC_ACSMOE_08_12,pct_Tot_Occp_Units_CEN_2010,pct_Tot_Occp_Units_ACS_08_12,pct_Tot_Occp_Units_ACSMOE_08_12,pct_Vacant_Units_CEN_2010,pct_Vacant_Units_ACS_08_12,pct_Vacant_Units_ACSMOE_08_12,pct_Renter_Occp_HU_CEN_2010,pct_Renter_Occp_HU_ACS_08_12,pct_Renter_Occp_HU_ACSMOE_08_12,pct_Owner_Occp_HU_CEN_2010,pct_Owner_Occp_HU_ACS_08_12,pct_Owner_Occp_HU_ACSMOE_08_12,pct_Single_Unit_ACS_08_12,pct_Single_Unit_ACSMOE_08_12,pct_MLT_U2_9_STRC_ACS_08_12,pct_MLT_U2_9_STRC_ACSMOE_08_12,pct_MLT_U10p_ACS_08_12,pct_MLT_U10p_ACSMOE_08_12,pct_Mobile_Homes_ACS_08_12,pct_Mobile_Homes_ACSMOE_08_12,pct_Crowd_Occp_U_ACS_08_12,pct_Crowd_Occp_U_ACSMOE_08_12,pct_NO_PH_SRVC_ACS_08_12,pct_NO_PH_SRVC_ACSMOE_08_12,pct_No_Plumb_ACS_08_12,pct_No_Plumb_ACSMOE_08_12,pct_Recent_Built_HU_ACS_08_12,pct_Recent_Built_HU_ACSMOE_08_12
1,100006,ALABAMA,Marshall County School District,Marshall County,424,79,250,70-74,100,3,59.49,0,0,6028,0,0,100,50.36,50.5969891,3.131887566,49.64,49.4030109,2.205599491,0,0,0,94.70496626,1.91325232,11.27352458,5.130772103,88.72647543,4.148516462,66.82817096,0.949249704,33.9461419,6.57956537,7.716209218,2.212032696,99.9480879,0.302719253,20.56786704,4.426441435,89.29016189,1.554061735,10.70983811,4.266323005,99.2386226,13.12750352,13.47863993,1.25502942,94.41079772,2.327333096,5.589202284,3.035016484,1.12476207,0.754006972,4.464440215,2.614073407,0.304414003,0.303409344,0,0.862506342,0,0.862506342,0,0.862506342,0.304414003,0.912907614,76.92,78.89396246,3.722041742,58.45,62.65854896,6.130036072,41.55,37.34145104,6.980604097,12.74,12.9883308,3.866955381,23.08,21.10603754,5.524275499,19.62,19.98985287,5.551566811,40.03,38.66057839,4.491674427,2.783,2.932014206,0.138735189,22.51,23.92282958,7.450121647,9.538305429,4.705878243,3.348554034,2.981036803,88.55,81.51364764,4.637984468,11.45,18.48635236,5.816313913,24.7,26.23033993,6.135165597,75.3,73.76966007,6.555231852,57.98180314,7.195874877,6.038047974,3.456309926,0.124069479,0.703023681,35.8560794,6.45692734,5.834601725,3.212353519,1.62354135,1.719970644,2.315963606,2.891847314,1.94375517,3.058310491
2,100007,ALABAMA,Hoover City School District,Jefferson County,1042,91,216,75-79,99.90345714,2,1.84,4162,0,0,100,0,0,48.39,47.76053215,5.248753418,51.61,52.23946785,2.806948392,0,0,0,89.04656319,11.15727397,11.03087649,9.23796113,88.96912351,3.336659381,64.30155211,7.470789114,3.310344828,2.574752314,63.48275862,7.127596873,100,12.73105779,3.015521064,2.869672073,95.16061744,2.71611045,4.839382562,3.381054428,98.58093126,1.86702002,22.67206478,2.085666778,91.41906874,3.246668029,8.580931264,7.276183312,0.199556541,0.332108719,8.381374723,7.255775945,0,0.774693351,0,0.774693351,4.90639122,5.155663074,0,0.774693351,4.90639122,5.22033165,76.28,75.85539058,4.972657592,64.29,72.24015494,5.841141838,35.71,27.75984506,6.889802296,9.34,3.615235636,2.442942416,23.72,24.14460943,6.478894079,21.45,21.7559716,5.850511536,35.96,41.3169787,7.243067322,2.5581,2.911555843,0.19010103,22.72,31.65957447,13.66210185,10.2646869,8.303620404,0,0.774693351,96.16,97.54408061,3.605285312,3.84,2.455919396,3.776361635,9.28,10.32924467,6.099487671,90.72,89.67075533,5.115387429,100,0.794050391,0,0.755667506,0,0.755667506,0,0.755667506,0,0,0.645577792,1.355122845,0.818639799,1.258787212,0,0.755667506
3,100008,ALABAMA,Madison City School District,Madison County,836,91,163,80-84,100,2,4.376,3912,0,0,100,0,0,48.16,47.04508293,3.819529102,51.84,52.95491708,4.569421846,0,0,0,94.32375613,9.184636208,11.36701337,5.468803689,88.63298663,5.185918885,67.62438683,2.723955245,8.981001727,4.045928009,39.86183074,6.499048111,100,9.910396373,11.39920579,4.674113128,93.98580501,4.321771398,6.014194994,2.978559022,99.46274235,9.81778413,30.46031001,2.117485148,90.77318384,3.651641652,9.226816164,4.130969538,4.227984116,2.951763988,4.998832049,3.133951655,0.536847243,0.780287193,1.220107369,1.560235402,1.952171791,1.997974147,0,0.585651537,3.709126403,2.725100695,47.83,46.07125427,6.059975215,29.3,28.9409468,4.963015871,70.7,71.0590532,8.587085223,13.99,11.07857492,5.577945142,52.17,53.92874573,6.450620873,45.69,43.38701806,6.016895018,26.75,28.50170815,5.328765399,1.9969,2.089311859,0.087671196,22.52,22.77542373,10.5244766,21.57149829,5.730006997,0.976085896,1.121161166,91.71,90.02636204,4.460669239,8.29,9.973637961,4.737877129,70.7,71.79111762,6.344536145,29.3,28.20888238,4.925035895,30.71177504,5.609714654,45.82601055,7.5044389,22.05623902,5.328652117,1.405975395,1.93286083,3.562713519,3.361554516,1.464128843,1.266248089,0.263620387,0.483254075,0.527240773,0.834682175
4,100013,ALABAMA,Trussville City School District,Jefferson County,300,93,45,80-89,80.58105208,4,3.539,4548,0,0,100,0,0,46.92,49.69181722,2.828679307,53.08,50.30818278,4.537273369,0,0,0,93.2837407,11.90401978,7.587149692,5.633486158,92.41285031,1.782768803,69.56429331,3.164381763,5.377329667,3.346154885,35.1665139,6.76591105,98.80977683,1.270183879,3.312540331,2.324296714,93.05831019,15.67888664,6.941689806,3.674824274,99.12858661,1.364295824,21.67667238,2.017083151,95.30286929,2.991195371,4.697130712,4.698541454,0,0.255047822,4.697130712,4.698541454,0,0.651819663,0,0.651819663,0,0.651819663,0,0.651819663,0,0.651819663,65.49,70.23356871,4.762323028,52.94,51.92829984,8.490050507,47.06,48.07170016,10.52959314,9.42,12.76480174,6.46846812,34.51,29.76643129,6.869760316,30.47,28.68006518,6.966192048,26.63,28.19120044,4.598138434,2.3287,2.555676263,0.030459329,16.34,17.86542923,9.372547304,18.5768604,7.413203121,0.543183053,0.922079842,93.67,90.15670911,6.141208107,6.33,9.843290891,6.780757521,35.69,38.1314503,7.307217178,64.31,61.8685497,1.593527533,67.92360431,4.977331989,3.379040157,2.341663731,26.19980411,7.722239362,2.49755142,3.620723129,1.901140684,3.036873685,0.814774579,1.192687412,4.652301665,4.545587882,0,0.587659158
5,100030,ALABAMA,Alexander City City School District,Tallapoosa County,289,78,139,70-74,100,5,63.963,0,2589,3793,0,40.57,59.43,50.39,49.10514541,3.158137307,49.61,50.89485459,2.536878779,2.74,2.33,0.41,94.19942474,1.463787348,4.953350297,3.219824949,95.0466497,3.028824801,69.8625759,2.582291017,23.37602928,5.85958886,21.56907594,4.455764151,97.74688399,1.426718114,17.67206147,5.843576874,90.8866125,4.055941214,9.113387496,4.116653939,98.43400447,9.909621864,17.32142857,1.231621058,94.85458613,9.447433299,5.14541387,2.627134796,0.910834132,1.356709353,4.234579738,2.410068958,2.48,2.273381411,0,0.68,0,0.68,0,0.68,2.48,2.35360639,67.61,70.52,5.350734066,48.23,56.6,6.25000448,51.77,43.4,7.573384712,14.91,12.84,5.081117846,32.39,29.48,5.846499383,27.84,26.44,5.833432897,30.29,29.72,3.877104053,2.4105,2.4364,0.049549366,19.41,14.35053885,6.177658849,14.28,5.550711652,1.56,1.516072347,81.1,80.8276754,3.436450295,18.9,19.1723246,6.016842312,35.57,40,6.763312798,64.43,60,6.71464072,71.51632719,6.775501011,11.99482703,4.966725643,2.974458455,1.802968396,13.06175234,4.925717772,3.96,2.786244813,4.48,3.867305915,3.588748788,3.58319555,0.452634982,0.710838034
6,100210,ALABAMA,Auburn City School District,Lee County,489,88,110,75-79,100,2,2.227,3977,0,0,100,0,0,42.72,38.40479484,8.484369087,57.28,61.59520516,4.322210465,83.93,0,83.93,99.46980175,0.321471342,5.16801854,2.119858113,94.83198146,2.931899872,2.812355924,1.567002518,1.639344262,4.829844932,41.80327869,23.88340245,17.01244813,5.280401428,68.02168022,16.11997716,80.15695067,0.69723774,19.84304933,9.942533045,99.56201014,13.66219101,77.21694837,7.491063062,98.17888428,2.072734354,1.821115722,1.232202806,0.530198248,0.57400074,1.290917474,1.006525271,0,5.405405405,0,5.405405405,0,5.405405405,0,5.405405405,0,5.405405405,10.82,8.108108108,8.71021666,3.46,3.153153153,2.066869273,96.54,96.84684685,8.703737473,2.6,4.954954955,7.527449949,89.18,91.89189189,9.99684283,18.18,17.56756757,19.18257377,3.03,17.11711712,12.12632363,2.7662,3.40990991,0.511603641,12,16.66666667,64.04302395,28.82882883,11.86777401,0,5.405405405,84.62,86.04651163,12.44150753,15.38,13.95348837,9.071122558,79.65,76.12612613,13.02331829,20.35,23.87387387,21.47936564,2.713178295,4.995014123,16.27906977,9.260389,78.68217054,22.32920862,2.325581395,3.441839389,0,0,10.81081081,11.76885622,0,4.651162791,0,4.651162791
7,100240,ALABAMA,Autauga County School District,Autauga County,768,81,306,72,100,3,4.401,10762,0,4,99.96,0,0.04,47.62,50.42865308,2.71098328,52.38,49.57134692,3.328039383,1.68,1.68,0,92.45570585,7.265553496,4.265402844,1.974512295,95.73459716,1.696558838,60.49723757,1.068807638,5.196032121,2.039967906,40.45032278,4.902693451,99.3617832,7.748618713,7.736554501,4.80385719,96.1626575,2.745363258,3.837342497,2.28639731,99.70470566,0.849005672,18.67774912,1.058173806,97.78052963,1.303098952,2.219470375,1.327780571,0.523909316,0.456287328,1.695561059,1.196465428,0.765501403,1.224263273,0,0.484817556,0,0.484817556,0,0.484817556,0.765501403,1.326371602,70.6,64.30211789,3.929936401,53.97,47.92038785,4.851900946,46.03,52.07961215,6.730686796,12.84,12.86042358,3.649230383,29.4,35.69788211,5.618969039,25.55,28.75733606,6.205335505,42.58,37.56060219,4.727359434,2.5931,2.66164838,0.070003774,22.97,23.33333333,6.78777352,13.72799184,4.958653906,3.801990304,2.903303164,94.75,95.26008751,2.656333285,5.25,4.739912494,2.935537606,39.76,37.79025262,5.588063199,60.24,62.20974739,4.471702348,71.17160914,4.253332887,16.86922703,5.234732791,11.95916383,4.937360697,0,0.461837628,1.658586374,1.656717293,2.704771625,1.755967133,0,0.461837628,3.62177929,3.156878775
8,100270,ALABAMA,Baldwin County School District,Baldwin County,2321,74,859,59,100,3,12.942,6952,0,1445,82.79,0,17.21,46.99,49.59869848,3.72445964,53.01,50.40130152,1.349191982,0.15,0,0.15,93.22125813,11.11605519,6.468877254,5.313888629,93.53112275,10.20966105,71.47505423,8.616466018,10.07587253,5.657961516,37.57207891,4.02622684,100,12.24015643,10.98698482,6.437738746,95.32229185,5.182332213,4.677708147,2.16251981,98.38394794,11.82125084,11.64149487,0.970231521,95.46637744,2.920204394,4.53362256,3.950190206,1.453362256,1.110032077,3.080260304,3.8084676,0,0.464861909,0,0.464861909,1.449275362,2.212695523,0,0.464861909,1.449275362,2.267439061,71.14,73.85835384,4.504563858,58.05,61.85397867,5.076155445,41.95,38.14602133,6.668806641,10.14,9.105824446,3.388288977,28.86,26.14164616,5.71340526,25.91,21.71178562,4.805700872,33.65,29.58709325,4.72273724,2.4493,2.506426032,0.129299624,20.37,22.80636801,6.831780577,6.261963358,4.189111845,1.285206453,1.145089776,91.87,91.10612855,4.714270329,8.13,8.89387145,4.941400578,21.62,18.10226962,5.269787519,78.38,81.89773038,3.27997969,78.77428999,4.108311617,5.206776283,3.030280324,0.896860987,1.120346559,15.12207275,4.860221471,4.019688269,3.187425789,0.683620454,0.84638981,1.993024415,2.215417598,0.747384156,0.596956782
9,100390,ALABAMA,Birmingham City School District,Jefferson County,2417,56,1989,56,100,4,1.253,5409,0,0,100,0,0,44.17,47.52523608,1.804487354,55.83,52.47476392,6.453040394,0,0,0,92.5594269,16.39635204,0.861917326,0.837553563,99.13808267,1.482149481,61.82025399,10.14342003,14.6694759,4.681279857,10.69265209,3.872111535,100,17.91367879,24.56854445,10.20009156,76.88378033,6.289396296,23.11621967,7.265338295,98.81146206,1.947139282,23.11748229,2.963486772,100,17.91367879,0,0.276782807,0,0.276782807,0,0.276782807,0,0.767148014,0,0.767148014,0,0.767148014,0,0.767148014,0,0.767148014,72.69,69.0433213,8.00021315,30.78,28.6101083,7.158256279,69.22,71.3898917,11.17032459,37.27,29.96389892,8.068743485,27.31,30.9566787,9.217137941,24.6,25.45126354,7.55578304,38.88,33.93501805,8.919580731,2.7208,2.77166065,0.278415938,24.22,21.63398693,10.08266009,12.90613718,6.5583882,4.963898917,2.634756693,85.69,89.28283642,5.875943756,14.31,10.71716358,6.028068151,33,40.61371841,8.511764949,67,59.38628159,9.009856819,92.30459307,6.17909455,4.673650282,4.306925107,0,0.684931507,3.021756648,3.624063572,2.346570397,2.52058005,0.767148014,1.533153588,0,0.684931507,0,0.684931507
10,100450,ALABAMA,Brewton City School District,Escambia County,95,87,26,60-79,79.64855248,2,3.371,0,1567,172,0,90.11,9.89,48.65,56.3484252,6.17200636,51.35,43.6515748,4.875897273,10.06,9.37,0.69,98.52362205,1.864867597,1.548451549,1.837431049,98.45154845,17.73194151,68.25787402,11.64344307,20.18745494,6.451721921,9.444844989,4.709227396,93.01181102,4.244617955,30.52910053,11.50723723,83.02872063,14.00177261,16.97127937,8.478487599,98.76968504,2.539969942,6.87593423,0.890753812,99.40944882,17.66047646,0.590551181,1.523746803,0.590551181,1.523746803,0,0.590551181,0,1.726618705,0,1.726618705,0,1.726618705,0,1.726618705,0,1.726618705,63.21,75.39568345,8.788462836,33.13,37.84172662,15.88692805,66.87,62.15827338,10.30157785,25.04,30.79136691,7.982420759,36.79,24.60431655,8.975810594,33.89,22.44604317,10.03732172,29.62,44.17266187,14.51956048,2.3878,2.692086331,0.56322928,21.01,24.80916031,22.96113381,5.035971223,4.826717696,0,1.726618705,79.88,83.13397129,8.381342618,20.12,16.86602871,7.745660767,33.74,37.12230216,15.46848983,66.26,62.87769784,7.353824502,70.81339713,9.604358526,21.29186603,14.48175927,0.837320574,2.150685003,7.057416268,6.280964444,1.294964029,2.003934397,1.294964029,2.581805458,8.014354067,6.142755331,0,1.435406699
